variable,estimate,std_error,p_value,n_obs,interaction_with,outcome
domestic_first_applicant,0.023453583161280094,0.001543501178336348,0.0,2637803,domestic,log1p_applicant_count
ai_x_domestic,-0.0003174961859083031,0.0012139553417409813,0.7937641821350516,2637803,domestic,log1p_applicant_count
ai_core,0.299897480416997,0.030877587173917323,0.0,2637803,indiv,grant
first_is_individual,-0.16203174788098293,0.011978934535665063,0.0,2637803,indiv,grant
ai_x_indiv,0.11037189560646528,0.011375019640314744,0.0,2637803,indiv,grant
ai_core,-0.19094834419078996,0.09681038642556446,0.04901279362043054,1656342,indiv,log1p_grant_delay_days
first_is_individual,-0.4834376061446835,0.03881773362172868,0.0,1656342,indiv,log1p_grant_delay_days
ai_x_indiv,-0.40840635141635373,0.05594690625626795,8.957279362675763e-13,1656342,indiv,log1p_grant_delay_days
ai_core,-0.4316936869478102,0.09449575499402464,5.9334014648193545e-06,2637803,indiv,log1p_backward_cites
first_is_individual,-0.32569660821961693,0.05487748469201169,4.895101879398567e-09,2637803,indiv,log1p_backward_cites
ai_x_indiv,0.8740146403330618,0.036093770307549025,0.0,2637803,indiv,log1p_backward_cites
ai_core,-0.5109358508996464,0.10014983221921663,4.482339726052942e-07,2637803,indiv,log1p_reject_cites
first_is_individual,-0.09247973785850548,0.023215838629666294,7.599211845077392e-05,2637803,indiv,log1p_reject_cites
ai_x_indiv,0.7174384948610367,0.03978281511294927,0.0,2637803,indiv,log1p_reject_cites
ai_core,0.22013306701750118,0.07349691053362517,0.002852863484028356,2637803,indiv,log1p_forward_cites
first_is_individual,-0.34255298921751703,0.05310034089723303,2.2408941369178592e-10,2637803,indiv,log1p_forward_cites
ai_x_indiv,0.15119576825140432,0.019628626327092065,5.306866057708248e-14,2637803,indiv,log1p_forward_cites
ai_core,0.16665012064991916,0.05399408400977973,0.0021161002151708352,2637803,indiv,log1p_inventor_count
first_is_individual,-0.11909332652262468,0.021662173744232512,5.629842902976634e-08,2637803,indiv,log1p_inventor_count
ai_x_indiv,-0.10776418222427595,0.007517394096932297,0.0,2637803,indiv,log1p_inventor_count
ai_core,-0.018722801486682917,0.0049710493133075856,0.00018144268007103115,2637803,indiv,log1p_applicant_count
first_is_individual,0.05492612100314906,0.004895771306146456,0.0,2637803,indiv,log1p_applicant_count
ai_x_indiv,-0.051638131005263314,0.003789785091100041,0.0,2637803,indiv,log1p_applicant_count
